jdul,query
1. Blok I: Kewajaran Luas Bangunan dan Luas Tanah,"/*Pengecekan kewajaran isian luas bangunan dan luas tanah yang( r112a>r112b) dan (r112b<10 dan r112b>0)*/
SELECT id, id_ruta, prov, kab, kec, desa, status_dok, b1r112a, b1r112b 
FROM view_L2_Blok1 
WHERE ((b1r112a > b1r112b) and ((b1r112b>0) and (b1r112b<10)))
"
,
2. Blok II: Kewajaran Umur KRT dan ART,"/*Pengecekan ulang kewajaran umur ART  (umur ART banyak yang terisi 99, perlu probing lebih dalam untuk umur ART)
Pengecekan ulang umur KRT yang di bawah 16 tahun (R204=1 tetapi R206<16)*/
SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b2r204, b2r206 
FROM view_L2_Blok2 
WHERE (((b2r206 < '16') and (b2r204='1')) or (b2r206='99'))
"
,
3. Blok III: total luas lahan,"/*Luas lahan yang dikuasai (r311) tidak sama dengan penjumlahan dari penggunaan lahan pada setiap bidang oleh unit usaha pertanian (r312 sampai dengan r321)*/
SELECT t1.* 
FROM(
        SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art, status_dok,
                COALESCE(b3r311_total,0) AS b3r311_total,
                (COALESCE(b3r312_total,0)+COALESCE(b3r313_total,0)+COALESCE(b3r314_total,0)+
                COALESCE(b3r315_total,0)+COALESCE(b3r316_total,0)+COALESCE(b3r317_total,0)+
                COALESCE(b3r318_total,0)+COALESCE(b3r319_total,0)+COALESCE(b3r320_total,0)+
                COALESCE(b3r321_total,0)) as sum_b3r312_sd_b3r321
        from view_L2_Blok2
"
,
4. Blok III: luas lahan sawah,"/*Cek kewajaran luas lahan sawah (r312), misalnya r312>=100000 atau <= 2*/
SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art,status_dok, b2r202, b3r301, 
                b3r312
FROM view_L2_Blok3
WHERE (b3r312 is not null and b3r312>0) and ((b3r312 >= 100000) or (b3r312 <= 2))
"
,
5. Blok III: luas lahan bukan sawah,"/*Cek kewajaran luas lahan bukan sawah (r313), misalnya r313 >=100000  atau <= 2*/
SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art,status_dok, b2r202, b3r301, 
                b3r313
FROM view_L2_Blok3
WHERE (b3r313 is not null and b3r313 >0) and ((b3r313 >= 100000) or (b3r313 <= 2))
"
,
6. Blok III: luas lahan kandang ternak,"/*Cek kewajaran luas lahan kandang ternak (r318), misalnya r318>=100000 atau <= 2*/
SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art, status_dok, b2r202, b3r301, 
                b3r318
FROM view_L2_Blok3
WHERE (b3r318 is not null and b3r318 > 0) and ((b3r318 >= 100000) or (b3r318 <= 2))
"
,
7. Blok III: luas lahan tanaman tahunan,"/*Cek kewajaran luas lahan tanaman tahunan (r317), misalnya r317>=250000 atau <= 5*/
SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art,status_dok, b2r202, b3r301, 
                b3r317
FROM  view_L2_Blok3
WHERE (b3r317 is not null and b3r317 >0) and ((b3r317 >= 250000) or (b3r317 <= 5))
"
,
8. Blok III: lokasi lahan,"/*lokasi lahan yang dikuasai bukan berada di provinsi tempat tinggal (r324_prov tidak sama dengan r324). Pastikan kembali status penguasaan lahan tersebut.*/
SELECT prov, kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art, status_dok, b3r324_prov_1,b3r322 as 'Status Kepemilikan'
FROM view_L2_Blok3
WHERE prov <> b3r324_prov_1
"
,
9. Blok IV (Tanpang): nama tanaman palawija lainnya ada di ST2023-kode,"/*Cek deskripsi nama tanaman palawija lainnya (r403=1299) yang sudah ada di ST2023-Kode

*/
SELECT * 
FROM (
    SELECT kab, kec, desa, 
                b1r105,b1r106,b1r107,b1r108,
                id_ruta,id_art, status_dok, b2r202, b3r301, 
            b4r403, lower(b4r402) as b4r402
    FROM view_L2_Blok4
    WHERE (b4r403='1299') 
) t1
"
,
10. Blok IV (Tanpang): nama tanaman bukan merupakan palawija lainnya,"/*Deskripsi tanaman r403=1299 bukan merupakan tanaman palawija lainnya*/
/*pada query dapat ditambahkan nama tanaman lain yang bukan palawija lainnya jika belum tercakup*/

SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b4r401, b4r402, b4r403
FROM view_L2_Blok4
where (b4r403 like '1%99') and 
(
(b4r402 like '%ALPUKAT%') or
(b4r402 like '%ANGGUR%') or
(b4r402 like '%APEL%') or
(b4r402 like '%AREN/ENAU%') or
(b4r402 like '%ASAM%JAWA%') or
"
,
11. Blok IV (Horti): nama tanaman lainnya ada di ST2023-kode.,"/*Cek deskripsi nama tanaman hortikultura (r403=2x99) yang sudah ada di ST2023-kode.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b4r401, b4r402, b4r403
FROM view_L2_Blok4
where (b4r403 like '2%99') and 
(
(b4r402 like '%BLEWAH%') or
(b4r402 like '%MELON%LAINNYA%') or
(b4r402 like '%ROCK%MELON/MELON%BERJARING%') or
(b4r402 like '%GOLDEN%MELON/MELON%TIDAK%BERJARING%') or
(b4r402 like '%MENTIMUN%SURI%') or
(b4r402 like '%SEMANGKA%') or
(b4r402 like '%STROBERI%') or
"
,
12. Blok IV (Horti): nama tanaman merupakan komoditas tahunan,"/*Tanaman komoditas tahunan (Blok V) tercatat di Semusim (Blok IV).*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b4r401, b4r402, b4r403
FROM view_L2_Blok4
where (b4r403 like '2%99') and 
(
(b4r402 like '%ALPUKAT%') or
(b4r402 like '%ANGGUR%') or
(b4r402 like '%APEL%') or
(b4r402 like '%BELIMBING%DEWA/DEWI%') or
(b4r402 like '%BELIMBING%DEMAK%KUNIR%') or
(b4r402 like '%BELIMBING%KARANG%SARI%') or
(b4r402 like '%BELIMBING%LAINNYA%') or
"
,
13. Blok IV (Horti): nama komoditas bukan merupakan komoditas horti,"/*Kode komodiitas hortikultura lainnya (r403=2x99) namun nama komoditas (r402) bukan merupakan komoditas hortikultura.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b4r401, b4r402, b4r403
FROM view_L2_Blok4
where (b4r403 like '2%99') and 
(
(b4r402 like '%PADI%LADANG%') or
(b4r402 like '%PADI%SAWAH%HIBRIDA%') or
(b4r402 like '%PADI%SAWAH%INBRIDA%') or
(b4r402 like '%JAGUNG%HIBRIDA%') or
(b4r402 like '%JAGUNG%KOMPOSIT%') or
(b4r402 like '%JAGUNG%LOKAL%') or
(b4r402 like '%KEDELAI%') or
"
,
14. Blok IV (Kebun): nama kode komoditas lainnya,"/*Cek kode tanaman lainnya (r403 = 3299) dan isian r402. Pastikan jika r403 = 3299, r402 tidak terisi selain jenis tanaman perkebunan semusim, termasuk tanaman perkebunan semusim yang sudah tersedia kodenya di ST2023-Kode.*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, b4r402, b4r403, status_dok
FROM view_L2_Blok4 
WHERE ((b4r403  LIKE '3%' and b4r403  LIKE '%99'))
"
,
"15. Blok IV (Tanpang, Horti, & Kebun): nama tanaman lainnya tidak spesifik","/*Deskripsi nama tanaman lainnya tidak spesifik, baik untuk komoditas tanaman pangan, hortikultura, dan perkebunan lainnya.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b4r401, b4r402, b4r403, b11_catatan
FROM view_L2_Blok4
where (b4r403 like '%%99') and 
(
(b4r402 like '%LAINNYA%')
)
"
,
"16. Blok IV (Tanpang, Horti & Kebun): outlier nilai ijon","/*Cek outlier nilai ijon per kabupaten per komoditas. Perlu dipastikan bahwa isian sudah dalam bentuk 000 Rp.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r419,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
                 (CASE 
                         WHEN Q1 - 1.5*(Q3 - Q1) < 0 THEN 0
"
,
"17. Blok IV (Tanpang, Horti, & Kebun): outlier nilai produksi bibit","/*Cek outlier nilai produksi bibit per kabupaten per komoditas. Perlu dipastikan bahwa isian sudah dalam bentuk 000 Rp.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r420,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
                 (CASE 
                         WHEN Q1 - 1.5*(Q3 - Q1) < 0 THEN 0
"
,
"18. Blok IV (Tanpang, Horti, & Kebun): outlier volume produksi","/*Cek outlier volume produksi per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r416,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
,
"19. Blok IV (Tanpang, Horti, & Kebun): outlier nilai produksi","/*Cek outlier nilai produksi per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r417,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM  view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
,
"20. Blok IV (Tanpang, Horti, & Kebun): outlier nilai produksi ikutan","/*Cek outlier nilai produksi ikutan per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art, t1.status_dok, t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r418,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
                 (CASE 
"
,
"21. Blok IV (Tanpang, Horti, & Kebun): outlier produktivitas","/*Cek outlier produktivitas (r416/r412) per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, b4r412, b4r416,
        t1.b4r416/t1.b4r412 AS produktivitas_r416perr412,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
"
,
"22. Blok IV (Tanpang, Horti, & Kebun): outlier harga","/*Cek outlier harga (r417/r416) per kabupaten per komoditas.*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b4r402, t1.b4r403, t1.b4r416, t1.b4r417, 
        t1.b4r417/t1.b4r416 AS hargapersatuan_r417perr416,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok4 AS t1
LEFT JOIN(
    SELECT kab,
            b4r403,
"
,
23. Blok V (Horti): anomali nama komoditas campuran (tidak sesuai ST KODE),"/*Nama komoditas yang terisi lebih dari 1 jenis pada baris yang sama (terdapat tanda koma, 'dan', '&')*/
select * from view_L2_Blok5
where
    b5r502 like '%,%' or
    b5r502 like '% dan %' or
    b5r502 like '%&%'
"
,
24. Blok V (Horti): anomali komoditas pisang,"/*Nama komoditas pisang yang sudah ada pada ST2023-Kode tapi terisi kode lainnya*/
select * from view_L2_Blok5
where
    b5r503 = '2157' and (
    b5r502 like '%kepok%' or
    b5r502 like '%mas%' or
    b5r502 like '%ambon%' or
    b5r502 like '%lampung%')
"
,
25. Blok V (Horti): anomali komoditas jeruk,"/*Nama komoditas jeruk yang sudah ada pada ST2023-Kode tapi terisi kode lainnya*/
select * from view_L2_Blok5
where
    b5r503 = '2128' and (
    b5r502 like '%siam%' or
    b5r502 like '%keprok%' or
    b5r502 like '%besar%' or
    b5r502 like '%manis%')
"
,
26. Blok V (Horti): Komoditas semusim yang masuk di blok 5 (tahunan),"/*Komoditas semusim yang masuk di blok 5 (tahunan)*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%BLEWAH%') or
(b5r502 like '%MELON%LAINNYA%') or
(b5r502 like '%ROCK%MELON/MELON%BERJARING%') or
(b5r502 like '%GOLDEN%MELON/MELON%TIDAK%BERJARING%') or
(b5r502 like '%MENTIMUN%SURI%') or
(b5r502 like '%SEMANGKA%') or
(b5r502 like '%STROBERI%') or
"
,
27. Blok V (Horti): anomali deskripsi tanaman tidak spesifik dan ada di ST-KODE,"/*Deskripsi tanaman lainnya tidak spesifik dan tanaman/komoditas ada di ST2023-kode.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%ALPUKAT%') or
(b5r502 like '%ANGGUR%') or
(b5r502 like '%APEL%') or
(b5r502 like '%BELIMBING%DEWA/DEWI%') or
(b5r502 like '%BELIMBING%DEMAK%KUNIR%') or
(b5r502 like '%BELIMBING%KARANG%SARI%') or
(b5r502 like '%BELIMBING%LAINNYA%') or
"
,
28. Blok V (Horti): anomali nama komoditas bukan merupakan komoditas horti,"/*Kode komodiitas hortikultura lainnya namun nama komoditas bukan merupakan komoditas hortikultura.*/
SELECT prov, kab, kec, desa, b1r105, b1r106, b1r107, b1r108, id, id_art, device, id_ruta, status_dok, b5r501, b5r502, b5r503
FROM view_L2_Blok5
where (b5r503 like '2%99') and 
(
(b5r502 like '%PADI%LADANG%') or
(b5r502 like '%PADI%SAWAH%HIBRIDA%') or
(b5r502 like '%PADI%SAWAH%INBRIDA%') or
(b5r502 like '%JAGUNG%HIBRIDA%') or
(b5r502 like '%JAGUNG%KOMPOSIT%') or
(b5r502 like '%JAGUNG%LOKAL%') or
(b5r502 like '%KEDELAI%') or
"
,
29. Blok V (Kebun): anomali kode komoditas lainnya,"/*Cek kode tanaman lainnya (r503 = 3199) dan isian r502. Pastikan jika r503 = 3199, r502 bersesuaian tidak terisi selain jenis tanaman perkebunan tahunan, termasuk tanaman perkebunan tahunan yang sudah tersedia kodenya di ST2023-Kode*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, b5r502, b5r503, status_dok
FROM view_L2_Blok5 
WHERE ((b5r503  LIKE '3%' and b5r503  LIKE '%99'))

"
,
30. Blok V (Kebun): kode komoditas sawit,"/*Kode komoditas berkode kelapa sawit tapi isian nama komoditas tidak terkandung kata sawit*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3111' and b5r502  NOT LIKE '%sawit%'))
"
,
31. Blok V (Kebun): kode komoditas karet,"/*Kode komoditas berkode karet tapi isian nama komoditas tidak terkandung kata  karet*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3109' and b5r502  NOT LIKE '%karet%'))
"
,
32. Blok V (Kebun): kode komoditas kopi,"/*Kode komoditas berkode kopi tapi isian nama komoditas tidak terkandung kata kopi*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3119' and b5r502  NOT LIKE '%kopi%'))
"
,
33. Blok V (Kebun): kode komoditas kakao,"/*Kode komoditas berkode kakao tapi isian nama komoditas tidak terkandung kata kakao/cokelat*/
SELECT prov, kab, kec, desa, b1r105,b1r106,b1r107,b1r108, id, id_ruta, id_art, status_dok, b5r502, b5r503 
FROM view_L2_Blok5 
WHERE ((b5r503 = '3107' and b5r502  NOT LIKE '%kakao%' and b5r502  NOT LIKE '%cokelat%' and b5r502  NOT LIKE '%coklat%'))
"
,
34. Blok V (Kebun): outlier produktivitas per pohon,"/*Cek outlier produktivitas per pohon (r513/r508) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514,
        t1.b5r513/t1.b5r508 AS provitasr513perr508,
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
"
,
35. Blok V (Horti & Kebun): outlier volume produksi,"/*Cek outlier volume produksi (r513) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
,
36. Blok V (Horti & Kebun): nilai produksi,"/*Cek outlier nilai produksi (r514) per komoditas*/
SELECT  t1.prov, t1.kab, t1.kec, t1.desa, 
        t1.b1r105,t1.b1r106,t1.b1r107,t1.b1r108,
        t1.id_ruta,t1.id_art,t1.status_dok,t1.b2r202, t1.b3r301, 
        t1.b5r502, t1.b5r503, t1.b5r508, t1.b5r513, t1.b5r514, 
        t2.min_whizker AS batas_bawah,
        t2.max_whizker AS batas_atas
FROM view_L2_Blok5 AS t1
LEFT JOIN(
    SELECT prov,
            b5r503,
                 (CASE 
"
,
